,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,22,29,209,1,0,4,21,42,106.8,3,22,0,23,0,0,0,0,0,0,0
A.J. Brown\BrowAJ00,TEN,0,1,0,0,0,0,0,0,39.6,0,0,0,0,16,11,145,1,42,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,7,31,0,10,1,0,0,0,0,0,0
Dontrell Hilliard\HillDo00,TEN,0,0,0,0,0,0,0,0,,5,20,0,9,2,2,-6,0,2,0,0
D'Onta Foreman\ForeDO00,TEN,0,0,0,0,0,0,0,0,,9,17,1,8,0,0,0,0,0,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,38,0,24,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,10,0,6,0,0
Julio Jones\JoneJu02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Racey McMath\McMaRa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Khari Blasingame\BlasKh00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0
