Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
Ryan Tannehill\TannRy00,TEN,22,29,209,11,33.3,217,7.5,133,6.0,4.6,76,3.5,1,3.4%,2,6.9%,4,8,2,4,10,29.4%,1,23.0
A.J. Brown\BrowAJ00,TEN,0,1,0,0,0.0,27,27.0,0,,0.0,0,,0,0.0%,1,100.0%,0,0,0,0,0,0.0%,0,
