Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
D'Onta Foreman\ForeDO00,TEN,11,30,0,12,1.1,18,1.6,0,
Adrian Peterson\PeteAd01,TEN,8,21,1,13,1.6,8,1.0,0,
Ryan Tannehill\TannRy00,TEN,5,1,2,-1,-0.2,2,0.4,0,
Jeremy McNichols\McNiJe00,TEN,4,7,,5,1.3,2,0.5,0,
A.J. Brown\BrowAJ00,TEN,1,7,1,5,5.0,2,2.0,0,
