,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,19,27,213,1,0,2,15,50,105.9,5,1,1,2,0,0,0,0,0,1,0
D'Onta Foreman\ForeDO00,TEN,0,0,0,0,0,0,0,0,,11,30,0,6,2,2,48,0,39,0,0
Adrian Peterson\PeteAd01,TEN,0,0,0,0,0,0,0,0,,8,21,0,6,1,1,-1,0,-1,0,0
A.J. Brown\BrowAJ00,TEN,0,0,0,0,0,0,0,0,,1,7,0,7,4,1,16,0,16,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,4,7,0,4,3,1,1,0,1,0,0
Marcus Johnson\JohnMa07,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,100,0,50,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,26,0,16,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
MyCole Pruitt\PruiMy00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0
Dez Fitzpatrick\FitzDe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
