Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry\HenrDe00,TEN,20,143,5,47,2.4,96,4.8,1,20.0
Ryan Tannehill\TannRy00,TEN,2,3,1,1,0.5,2,1.0,1,2.0
