Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
D'Onta Foreman\ForeDO00,TEN,22,108,8,47,2.1,61,2.8,2,11.0
Dontrell Hilliard\HillDo00,TEN,9,49,2,34,3.8,15,1.7,0,
Jeremy McNichols\McNiJe00,TEN,6,26,0,10,1.7,16,2.7,0,
Ryan Tannehill\TannRy00,TEN,5,18,4,13,2.6,5,1.0,1,5.0
