,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,23,32,153,0,1,4,36,18,68.9,5,18,1,11,0,0,0,0,0,2,1
D'Onta Foreman\ForeDO00,TEN,0,0,0,0,0,0,0,0,,22,108,0,20,3,2,27,0,18,0,0
Dontrell Hilliard\HillDo00,TEN,0,0,0,0,0,0,0,0,,9,49,0,15,6,4,10,0,5,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,6,26,0,9,3,3,25,0,11,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,32,0,12,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,30,0,13,1,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,11,1,1
Cody Hollister\HollCo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
MyCole Pruitt\PruiMy00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Julio Jones\JoneJu02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Racey McMath\McMaRa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,1,1
