,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,14,22,197,1,0,3,13,26,107.6,3,21,0,8,0,0,0,0,0,0,0
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,29,130,3,15,0,0,0,0,0,0,0
Cameron Batson\BatsCa00,TEN,0,0,0,0,0,0,0,0,,2,15,0,11,0,0,0,0,0,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,1,9,0,9,1,1,26,0,26,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,1,9,0,9,2,2,26,0,25,0,0
Marcus Johnson\JohnMa07,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,52,0,22,0,0
A.J. Brown\BrowAJ00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,38,0,22,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,33,0,14,0,0
MyCole Pruitt\PruiMy00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,1,14,0,0
Josh Reynolds\ReynJo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
