,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,13,18,120,2,0,1,10,28,127.1,4,7,0,5,0,0,0,0,0,1,0
D'Onta Foreman\ForeDO00,TEN,0,0,0,0,0,0,0,0,,26,132,1,35,0,0,0,0,0,0,0
Dontrell Hilliard\HillDo00,TEN,0,0,0,0,0,0,0,0,,8,45,1,39,3,3,33,0,28,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,2,14,0,12,0,0,0,0,0,0,0
A.J. Brown\BrowAJ00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,41,0,25,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,24,1,15,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,7,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,9,1,5,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
