Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry\HenrDe00,TEN,28,68,4,13,0.5,55,2.0,0,
Ryan Tannehill\TannRy00,TEN,2,26,2,23,11.5,3,1.5,0,
Logan Woodside\WoodLo00,TEN,1,-1,,-1,-1.0,0,0.0,0,
