,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,23,33,265,3,2,3,18,57,98.7,2,26,0,13,0,0,0,0,0,0,0
A.J. Brown\BrowAJ00,TEN,0,1,0,0,0,0,0,0,39.6,0,0,0,0,11,10,155,1,57,0,0
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,28,68,0,9,0,0,0,0,0,1,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,33,0,13,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,23,1,7,0,0
MyCole Pruitt\PruiMy00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,14,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,1,11,0,0
Marcus Johnson\JohnMa07,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,8,0,8,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Logan Woodside\WoodLo00,TEN,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
