Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry\HenrDe00,TEN,35,182,9,93,2.7,89,2.5,1,35.0
Ryan Tannehill\TannRy00,TEN,4,27,2,26,6.5,1,0.3,0,
Jeremy McNichols\McNiJe00,TEN,1,3,0,1,1.0,2,2.0,0,
