,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,27,40,347,0,0,3,27,51,94.5,4,27,0,19,0,0,0,0,0,1,1
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,35,182,3,60,6,6,55,0,15,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,1,3,0,3,3,3,26,0,12,0,0
Julio Jones\JoneJu02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,128,0,51,0,0
A.J. Brown\BrowAJ00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,43,0,15,0,0
MyCole Pruitt\PruiMy00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,43,0,22,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,22,0,12,0,0
Tommy Hudson\HudsTo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,5,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
