,Rk,Player,Tm,Age_x,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,PlayerID,Team,Age_y,Total Value,Avg./Year,Total Guaranteed,Fully Guaranteed,Free Agency
38,46,Clyde Edwards-Helaire,KAN,22,rb,10,10,119,517,4,21,17,4.3,51.7,2,EdwaCl00,Chiefs,23,10821576,2705394,9955850,9955850,2024 UFA
39,47,Latavius Murray,BAL,31,rb,14,6,119,501,6,36,46,4.2,35.8,0,MurrLa00,Ravens,32,1075000,1075000,0,0,2022 UFA
40,48,Rashaad Penny,SEA,25,rb,10,6,119,749,6,28,62,6.3,74.9,0,PennRa00,Seahawks,26,10765436,2691359,9397422,9397422,2022 UFA
41,49,Chase Edmonds,ARI,25,RB,12,11,116,592,2,32,54,5.1,49.3,1,EdmoCh00,Cardinals,26,2912356,728089,452356,452356,2022 UFA
42,50,Alex Collins,SEA,27,rb,11,6,108,411,2,22,25,3.8,37.4,1,CollAl00,Seahawks,28,990000,990000,0,0,2022 UFA
43,51,Khalil Herbert,CHI,23,rb,17,2,103,433,2,24,29,4.2,25.5,1,HerbKh00,Bears,24,3610704,902676,130704,130704,2025 UFA
44,52,Ronald Jones II,TAM,24,rb,16,3,101,428,4,25,30,4.2,26.8,2,JoneRo01,Buccaneers,25,7071926,1767982,3223220,3223220,2022 UFA
45,54,Christian McCaffrey,CAR,25,rb,7,7,99,442,1,20,18,4.5,63.1,1,McCaCh01,Panthers,26,64063412,16015853,36346412,30062500,2026 UFA
46,58,Boston Scott,PHI,26,rb,16,4,87,373,7,24,23,4.3,23.3,1,ScotBo02,Eagles,27,920000,920000,0,0,2022 RFA
47,60,Tevin Coleman,NYJ,28,rb,11,5,84,356,0,19,20,4.2,32.4,0,ColeTe01,Jets,29,1100000,1100000,400000,400000,2022 UFA
48,61,Jeff Wilson,SFO,26,rb,9,4,79,294,2,19,17,3.7,32.7,1,WilsJe01,49ers,27,2050000,2050000,2050000,2050000,2022 UFA
49,62,Kareem Hunt,CLE,26,rb,8,1,78,386,5,22,33,4.9,48.3,0,HuntKa00,Browns,27,12000000,6000000,6809000,5509000,2023 UFA
50,65,Carlos Hyde,JAX,31,rb,12,2,72,253,1,14,18,3.5,21.1,2,HydeCa00,Jaguars,32,4500000,2250000,1400000,1400000,2023 UFA
51,66,Duke Johnson,MIA,28,rb,5,4,71,330,3,18,27,4.6,66.0,0,JohnDu00,Dolphins,29,990000,990000,0,0,2022 UFA
52,68,Kenneth Gainwell,PHI,22,rb,16,1,68,291,5,19,18,4.3,18.2,2,GainKe00,Eagles,23,3815524,953881,335524,335524,2025 UFA
53,69,Justin Jackson,LAC,25,rb,14,2,68,364,2,18,75,5.4,26.0,1,JackJu01,Chargers,26,2460000,615000,0,0,2022 UFA
54,70,Jaret Patterson,WAS,22,rb,17,1,68,266,2,15,13,3.9,15.6,1,PattJa01,Washington,24,2460000,820000,115000,115000,2024 RFA
55,71,David Johnson,HOU,30,rb,13,4,67,228,0,7,15,3.4,17.5,1,JohnDa08,Texans,31,5000000,5000000,4250000,4250000,2022 UFA
56,73,Kenyan Drake,LVR,27,rb,12,2,63,254,2,15,21,4.0,21.2,1,DrakKe00,Raiders,28,11000000,5500000,11500000,8500000,2023 UFA
57,76,Ty Johnson,NYJ,24,rb,16,3,61,238,2,13,24,3.9,14.9,2,JohnTy02,Jets,25,2692556,673139,172556,172556,2023 UFA
58,81,Dontrell Hilliard,TEN,26,rb,8,5,56,350,2,15,68,6.3,43.8,2,HillDo00,Titans,27,920000,920000,0,0,2022 UFA
59,82,Nyheim Hines,IND,25,rb,17,4,56,276,2,15,34,4.9,16.2,3,HineNy00,Colts,26,18600000,6200000,12000000,10300000,2025 UFA
60,83,Peyton Barber,LVR,27,rb,10,1,55,212,2,12,27,3.9,21.2,2,BarbPe01,Raiders,28,990000,990000,0,0,2022 UFA
61,88,Chris Carson,SEA,27,rb,4,4,54,232,3,11,33,4.3,58.0,1,CarsCh00,Seahawks,28,10425000,5212500,5500000,5500000,2023 Void
62,89,Tony Jones,NOR,24,rb,11,4,54,142,0,7,11,2.6,12.9,0,JoneTo04,Saints,25,1485000,742500,0,0,2023 ERFA
63,93,J.D. McKissic,WAS,28,rb,11,3,48,212,2,14,15,4.4,19.3,0,McKiJ.00,Washington,29,3270000,1635000,1000000,1000000,2022 UFA
64,97,Brandon Bolden,NWE,31,rb,17,1,44,226,1,12,24,5.1,13.3,1,BoldBr00,Patriots,32,3700000,1850000,2000000,2000000,2022 UFA
65,99,Dare Ogunbowale,JAX,27,rb,17,2,43,137,1,5,12,3.2,8.1,0,OgunDa00,Jaguars,28,850000,850000,0,0,2022 RFA
66,103,Trey Sermon,SFO,22,rb,9,2,41,167,1,9,16,4.1,18.6,0,SermTr00,49ers,23,4872934,1218234,903952,903952,2025 UFA
67,107,Damien Williams,CHI,29,rb,12,2,40,164,2,11,23,4.1,13.7,0,WillDa05,Bears,30,1500000,1500000,1000000,1000000,2022 Void
68,115,Ke'Shawn Vaughn,TAM,24,rb,12,1,36,180,2,9,55,5.0,15.0,0,VaugKe00,Buccaneers,25,4708440,1177110,1018908,1018908,2024 UFA
69,118,Malcolm Brown,MIA,28,rb,7,3,33,125,1,6,24,3.8,17.9,0,BrowMa03,Dolphins,29,1750000,1750000,1750000,1750000,2022 UFA
70,133,Elijhaa Penny,NYG,28,rb,17,3,24,99,1,9,12,4.1,5.8,0,PennEl00,Giants,29,2250000,1125000,335000,335000,2022 UFA
71,145,Chris Evans,CIN,24,rb,14,1,17,77,0,3,13,4.5,5.5,0,EvanCh02,Bengals,25,3652888,913222,172888,172888,2025 UFA
72,199,Demetric Felton,CLE,23,rb,16,2,7,24,0,0,12,3.4,1.5,4,FeltDe00,Browns,24,3641144,910286,161144,161144,2025 UFA
73,291,Raheem Mostert,SFO,29,rb,1,1,2,20,0,1,11,10.0,20.0,0,MostRa00,49ers,30,8700000,2900000,3000000,2400000,2022 UFA
