,Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_LostYds,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fmb,FL,Week,PlayerID
47,Derrick Henry,TEN,0,0,0,0,0,0,0,0,,29,130,3,15,0,0,0,0,0,0,0,5,HenrDe00
48,Cameron Batson,TEN,0,0,0,0,0,0,0,0,,2,15,0,11,0,0,0,0,0,0,0,5,BatsCa00
49,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,1,9,0,9,1,1,26,0,26,0,0,5,RogeCh02
50,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,1,9,0,9,2,2,26,0,25,0,0,5,McNiJe00
51,Marcus Johnson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,52,0,22,0,0,5,JohnMa07
52,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,38,0,22,0,0,5,BrowAJ00
53,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,33,0,14,0,0,5,FirkAn00
54,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,1,14,0,0,5,PruiMy00
55,Josh Reynolds,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,5,ReynJo00
56,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,5,SwaiGe00
57,Ryan Tannehill,TEN,18,29,216,0,1,0,0,48,70.5,2,3,1,4,0,0,0,0,0,0,0,6,TannRy00
58,Derrick Henry,TEN,0,0,0,0,0,0,0,0,,20,143,3,76,3,2,13,0,9,0,0,6,HenrDe00
59,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,91,0,22,0,0,6,BrowAJ00
60,Julio Jones,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,59,0,48,0,0,6,JoneJu02
61,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,27,0,14,0,0,6,WestNi00
62,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0,6,FirkAn00
63,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0,6,SwaiGe00
64,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,6,RogeCh02
65,Marcus Johnson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,6,JohnMa07
66,Ryan Tannehill,TEN,21,27,270,1,1,1,9,46,105.2,2,6,1,4,0,0,0,0,0,0,0,7,TannRy00
67,Derrick Henry,TEN,1,1,5,1,0,0,0,5,127.1,29,86,0,11,2,2,16,0,13,0,0,7,HenrDe00
68,Darrynton Evans,TEN,0,0,0,0,0,0,0,0,,2,7,0,5,2,2,11,0,6,0,0,7,EvanDa02
69,Marcus Johnson,TEN,0,0,0,0,0,0,0,0,,1,5,0,5,1,0,0,0,0,0,0,7,JohnMa07
70,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,133,1,46,0,0,7,BrowAJ00
71,Julio Jones,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,38,0,20,0,0,7,JoneJu02
72,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,27,1,22,0,0,7,PruiMy00
73,Josh Reynolds,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,23,0,11,0,0,7,ReynJo00
74,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,7,McNiJe00
75,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0,7,FirkAn00
76,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,7,SwaiGe00
77,Logan Woodside,TEN,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0,7,WoodLo00
78,Ryan Tannehill,TEN,23,33,265,3,2,3,18,57,98.7,2,26,0,13,0,0,0,0,0,0,0,8,TannRy00
79,A.J. Brown,TEN,0,1,0,0,0,0,0,0,39.6,0,0,0,0,11,10,155,1,57,0,0,8,BrowAJ00
