,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,18,27,197,3,2,1,9,26,94.2,5,56,0,28,0,0,0,0,0,0,0
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,28,113,0,19,3,3,31,0,14,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,2,6,0,5,2,1,10,1,10,0,0
A.J. Brown\BrowAJ00,TEN,0,0,0,0,0,0,0,0,,1,3,0,3,2,0,0,0,0,0,0
Mekhi Sargent\SargMe00,TEN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,53,1,18,1,1
Julio Jones\JoneJu02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,47,0,25,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,27,0,26,0,0
Cameron Batson\BatsCa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
MyCole Pruitt\PruiMy00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,1,6,0,0
Tommy Hudson\HudsTo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Racey McMath\McMaRa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
