Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry\HenrDe00,TEN,28,113,7,72,2.6,41,1.5,1,28.0
Ryan Tannehill\TannRy00,TEN,5,56,3,53,10.6,3,0.6,0,
Jeremy McNichols\McNiJe00,TEN,2,6,0,2,1.0,4,2.0,0,
A.J. Brown\BrowAJ00,TEN,1,3,,1,1.0,2,2.0,0,
Mekhi Sargent\SargMe00,TEN,1,2,,2,2.0,0,0.0,0,
