,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,23,32,287,4,0,1,6,36,138.9,2,-2,0,-1,0,0,0,0,0,0,0
D'Onta Foreman\ForeDO00,TEN,0,0,0,0,0,0,0,0,,21,69,0,16,2,1,15,0,15,1,0
Dontrell Hilliard\HillDo00,TEN,0,0,0,0,0,0,0,0,,9,57,0,16,1,1,1,0,1,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,78,1,36,0,0
A.J. Brown\BrowAJ00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,68,1,24,0,0
Julio Jones\JoneJu02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,58,1,19,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,56,1,24,0,0
Khari Blasingame\BlasKh00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,4,1,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Racey McMath\McMaRa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
