Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Adrian Peterson\PeteAd01,TEN,10,21,1,6,0.6,15,1.5,0,
Jeremy McNichols\McNiJe00,TEN,7,24,,16,2.3,8,1.1,0,
D'Onta Foreman\ForeDO00,TEN,5,29,1,9,1.8,20,4.0,1,5.0
Ryan Tannehill\TannRy00,TEN,2,3,2,2,1.0,1,0.5,0,
Marcus Johnson\JohnMa07,TEN,1,-7,,-7,-7.0,0,0.0,0,
Logan Woodside\WoodLo00,TEN,1,-1,,-1,-1.0,0,0.0,0,
