,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,11,21,93,1,1,2,8,24,60.2,5,24,0,11,0,0,0,0,0,1,0
Dontrell Hilliard\HillDo00,TEN,0,0,0,0,0,0,0,0,,12,131,1,68,2,1,2,0,2,1,1
D'Onta Foreman\ForeDO00,TEN,0,0,0,0,0,0,0,0,,19,109,0,30,1,1,3,0,3,1,1
Khari Blasingame\BlasKh00,TEN,0,0,0,0,0,0,0,0,,3,6,0,3,0,0,0,0,0,1,1
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,25,1,24,0,0
Cody Hollister\HollCo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,14,0,0
Dez Fitzpatrick\FitzDe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
MyCole Pruitt\PruiMy00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,1,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,2,0,2,0,0
