,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,21,35,212,1,1,6,56,39,74.9,2,17,1,16,0,0,0,0,0,2,2
Matthias Farley\FarlMa00,TEN,1,1,6,0,0,0,0,6,91.7,0,0,0,0,0,0,0,0,0,0,0
Derrick Henry\HenrDe00,TEN,0,0,0,0,0,0,0,0,,17,58,0,19,4,3,19,0,8,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,2,9,0,8,4,3,24,0,9,0,0
Mekhi Sargent\SargMe00,TEN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,62,0,39,0,0
A.J. Brown\BrowAJ00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,49,1,19,0,0
Julio Jones\JoneJu02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,29,0,10,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,19,0,11,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
Amani Hooker\HookAm00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
