Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Adrian Peterson\PeteAd01,TEN,9,40,2,15,1.7,25,2.8,0,
D'Onta Foreman\ForeDO00,TEN,7,25,1,4,0.6,21,3.0,1,7.0
Dontrell Hilliard\HillDo00,TEN,7,35,3,16,2.3,19,2.7,0,
Ryan Tannehill\TannRy00,TEN,2,3,1,0,0.0,3,1.5,0,
