,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,35,52,323,1,4,2,6,46,58.4,2,3,0,3,0,0,0,0,0,2,0
Adrian Peterson\PeteAd01,TEN,0,0,0,0,0,0,0,0,,9,40,0,16,2,2,4,0,5,0,0
Dontrell Hilliard\HillDo00,TEN,0,0,0,0,0,0,0,0,,7,35,0,16,10,8,47,0,10,1,0
D'Onta Foreman\ForeDO00,TEN,0,0,0,0,0,0,0,0,,7,25,0,9,1,1,15,0,15,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,107,0,46,0,0
A.J. Brown\BrowAJ00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,48,0,11,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,41,0,12,1,1
Dez Fitzpatrick\FitzDe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,35,1,18,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,26,0,7,0,0
Marcus Johnson\JohnMa07,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tommy Hudson\HudsTo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
