Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry\HenrDe00,TEN,33,157,8,77,2.3,80,2.4,2,16.5
Ryan Tannehill\TannRy00,TEN,3,9,1,8,2.7,1,0.3,0,
Jeremy McNichols\McNiJe00,TEN,1,11,1,11,11.0,0,0.0,0,
